Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
02518;5901477325182;CONNECTOR L WHITE;100;02518.jpg;Track connector;220-240V 50/60Hz;;white;;;;;0;;;0;;0;;;20;no;0;2;yes;aluminium, copper, plastic;max 16A;19;70;70;0;0;
02519;5901477325199;CONNECTOR L BLACK;100;02519.jpg;Track connector;220-240V 50/60Hz;;black;;;;;0;;;0;;0;;;20;no;0;2;yes;aluminium, copper, plastic;max 16A;19;70;70;0;0;
02542;5901477325427;GU10 CERAMIC;100;02542.jpg;Ceramic socket;max 250V 50/60Hz;;white;GU10;GU10;yes;;0;;;0;;0;;;0;;0;0;yes;ceramics;conductor 15 cm, max 2A;16;28;28;0;0;
02545;5901477325458;SENSORLU 360 KARO;0;02545.jpg;Ceiling light fitting with a motion sensor;220-240V 50/60Hz;2 x max 25 W;white;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;20;no;0.5;1;yes;steel sheet, glass;with PIR motion sensor, range 90°, maximum motion detection range is 8m (<24°), lighting time regulation between 10s and 3min, possibility of setting ambient lighting intensity (3-2000lx) at which the equipment operates;97;300;300;0;0;
02549;5901477325496;BIT SMD LED G9 2,5W NW;100;02549.jpg;SMD LED lamp;230V 50Hz;2,5 W;;G9;;;no;4500;neutral white;225 lm;300;>80;25000;;;0;;0;0;yes;polycarbonate PC;;48;16;12;0;0;
02725;5901477327254;DONAT LED 1C WW;0;02725.jpg;Wall & ceiling SMD LED lighting fitting;230V 50Hz;5 W;chrome;;SMD LED, in set;no;no;3000;warm white;400 lm;120;>80;30000;no;yes;20;no;0.5;1;yes;stainless steel, plastic;;142;110;110;0;0;
02726;5901477327261;DONAT LED 2L WW;50;02726.jpg;Wall & ceiling SMD LED lighting fitting;230V 50Hz;2 x 5 W;chrome;;SMD LED, in set;no;no;3000;warm white;2 x 400 lm;120;>80;30000;no;yes;20;no;0.5;1;yes;stainless steel, plastic;;142;250;100;0;0;
02727;5901477327278;DONAT LED 3L WW;8;02727.jpg;Wall & ceiling SMD LED lighting fitting;230V 50Hz;3 x 5 W;chrome;;SMD LED, in set;no;no;3000;warm white;3 x 400 lm;120;>80;30000;no;yes;20;no;0.5;1;yes;stainless steel, plastic;;142;400;100;0;0;
02728;5901477327285;DONAT LED 4L WW;100;02728.jpg;Wall & ceiling SMD LED lighting fitting;230V 50Hz;4 x 5 W;chrome;;SMD LED, in set;no;no;3000;warm white;4 x 400 lm;120;>80;30000;no;yes;20;no;0.5;1;yes;stainless steel, plastic;;142;550;100;0;0;
02746;5901477327469;WIR 75 WHITE;100;02746.jpg;Hermetic ceiling light fitting;220-240V 50/60Hz;max 75 W;white;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;44;yes;0.5;2;yes;polypropylene, polycarbonate PC;;105;250;250;0;0;
